dt,freq,flux,fluxerr
1.87,4.86,78,70
3.83,4.86,287,56
4.85,4.86,328,61
6.97,4.86,80,47
7.94,4.86,32,32
36.70,4.86,5,37
1.87,8.46,453,77
3,8.46,381,60
3.83,8.46,269,40
4.85,8.46,280,47
6.97,8.46,164,39
7.94,8.46,30,30
9.95,8.46,39,25
12.88,8.46,15,15
16.74,8.46,75,13
19.86,8.46,48,14
21.96,8.46,87,39
24.91,8.46,20,20
30.71,8.46,32,20
34.81,8.46,15,18
3.62,15,350,350
6.97,15,46,141
